Products,Price($),URL
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak II) and ASUS ROG STRIX 850G 850W Gold Power Supply ROG Hea,1524,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4487243
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 10G OC LHR,1552,https://www.newegg.ca/p/1FT-0009-00704?Description=3080&cm_re=3080-_-1FT-0009-00704-_-Product
ZOTAC TRINITY OC LHR GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ZT-A30800J-10PLHR,1579,https://www.newegg.ca/zotac-geforce-rtx-3080-zt-a30800j-10plhr/p/N82E16814500520?Description=3080&cm_re=3080-_-14-500-520-_-Product
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC LHR,1647,https://www.newegg.ca/p/1FT-0009-006M5?Description=3080&cm_re=3080-_-1FT-0009-006M5-_-Product
GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),1666,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932459?Description=3080&cm_re=3080-_-14-932-459-_-Product
INNO3D GeForce RTX 3080 Ice Dragon Super Edition (LHR) Graphics Card 10GB 320-bit GDDR6X PCI Express 4.0 1×HDMI 2.1 Interface 3×DisplayPort 1.4a Interface,1719,https://www.newegg.ca/inno3d-geforce-rtx-3080-rtx-3080-ice-dragon-super-edition-lhr/p/1FT-000N-001G0?Description=3080&cm_re=3080-_-1FT-000N-001G0-_-Product
GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card GV-N3080VISION OC-10GD (REV2.0),1759,https://www.newegg.ca/p/1FT-000A-002F0?Description=3080&cm_re=3080-_-1FT-000A-002F0-_-Product
Rosewill Hive Series 850W Full Modular Gaming Power Supply 80 PLUS Bronze Certified Single +12V Rail SLI CrossFire Ready - Hive-850s and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2.1 Dis,1759,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4482196
Rosewill - BRONZE Series - 1000-Watt Active PFC Power Supply - Continuous 104 Deg. F (40C) 80 PLUS Bronze Semi-Modular Cable Design ATX 12V v2.3 / EPS 12V SLI CrossFire Ready - RBR1000-MS and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Editi,1774,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4482194
ASUS TUF Gaming NVIDIA GeForce RTX 3080 O10G V2 GAMING Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification),1779,https://www.newegg.ca/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/1FT-000Y-006C3?Description=3080&cm_re=3080-_-1FT-000Y-006C3-_-Product
GIGABYTE Vision OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080VISION OC-10GD (rev. 2.0) (LHR),1780,https://www.newegg.ca/p/1FT-000A-002M3?Description=3080&cm_re=3080-_-1FT-000A-002M3-_-Product
Rosewill SMG850 80 Plus Gold Certified 850W Fully Modular Power Supply | ATX 12V v2.31 EPS 12V v2.92 | 135mm Quiet Fan | Japanese Capacitors | 5 Year Warranty and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12,1789,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4482198
MSI Ventus GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR,1799,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-ventus-3x-plus-12g-oc-lhr/p/N82E16814137712?Description=3080&cm_re=3080-_-14-137-712-_-Product
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak II),1799,https://www.newegg.ca/asus-tuf-rtx3080-o10g-v2-gaming/p/1FT-000Y-00688?Description=3080&cm_re=3080-_-1FT-000Y-00688-_-Product
ZOTAC Trinity OC GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30820J-10PLHR,1858,https://www.newegg.ca/zotac-geforce-rtx-3080-zt-a30820j-10plhr/p/N82E16814500526?Description=3080&cm_re=3080-_-14-500-526-_-Product
MSI Raphic Cards GeForce RTX 3080 VENTUS 3X 10G OC LHR 10GB GDDR6X Graphics Cards 320bit HDCP,1888,https://www.newegg.ca/p/1FT-0009-008H1?Description=3080&cm_re=3080-_-9SIB518HCJ0696-_-Product
Rosewill Hive Series 850W Full Modular Gaming Power Supply 80 PLUS Bronze Certified Single +12V Rail SLI CrossFire Ready - Hive-850s and ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2,1909,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4484196
EVGA GeForce RTX 3080 12GB XC3 BLACK GAMING Video Card 12G-P5-4861-KL 12GB GDDR6X iCX3 Cooling ARGB LED LHR,1911,https://www.newegg.ca/evga-geforce-rtx-3080-12g-p5-4861-kl/p/N82E16814487559?Description=3080&cm_re=3080-_-9SIB277HSS2695-_-Product
Rosewill - BRONZE Series - 1000-Watt Active PFC Power Supply - Continuous 104 Deg. F (40C) 80 PLUS Bronze Semi-Modular Cable Design ATX 12V v2.3 / EPS 12V SLI CrossFire Ready - RBR1000-MS and ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Editio,1924,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4484192
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G,1936,https://www.newegg.ca/msi-geforce-rtx-3080-gaming-z-trio-10g/p/N82E16814137652?Description=3080&cm_re=3080-_-14-137-652-_-Product
Rosewill SMG850 80 Plus Gold Certified 850W Fully Modular Power Supply | ATX 12V v2.31 EPS 12V v2.92 | 135mm Quiet Fan | Japanese Capacitors | 5 Year Warranty and ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card (PCIe,1939,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4484194
GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS X-10GD (rev. 2.0) (LHR),1959,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-x-10gd/p/N82E16814932457?Description=3080&cm_re=3080-_-14-932-457-_-Product
ZOTAC Trinity OC GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30810J-10P,1969,https://www.newegg.ca/zotac-geforce-rtx-3080-ti-zt-a30810j-10p/p/N82E16814500521?Description=3080&cm_re=3080-_-14-500-521-_-Product
MSI Ventus GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti Ventus 3X 12G OC,1999,https://www.newegg.ca/msi-geforce-rtx-3080-ti-rtx-3080-ti-ventus-3x-12g-oc/p/N82E16814137651?Description=3080&cm_re=3080-_-14-137-651-_-Product
GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-10GD (rev. 3.0) (LHR),1999,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-10gd/p/N82E16814932458?Description=3080&cm_re=3080-_-14-932-458-_-Product
GDDR6X MSI GeForce RTX 3080 VENTUS 3X 10G OC LHR Graphics Card RTX 3080 10GB 320bit PCI Express 4.0,1999,https://www.newegg.ca/p/1FT-0009-008G1?Description=3080&cm_re=3080-_-9SIB518HCJ0269-_-Product
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080-O10G-V2-GAMING LHR,2000,https://www.newegg.ca/p/1FT-000Y-00669?Description=3080&cm_re=3080-_-1FT-000Y-00669-_-Product
EVGA GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card 12G-P5-4877-KL and EVGA SuperNOVA 1000 G5 80 Plus Gold 1000W Fully Modular Eco Mode with FDB Fan 10 Year Warranty Includes Power ON Self Tester Compact 150mm Size Power Supply,2004,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4474989
ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING,2049,https://www.newegg.ca/asus-geforce-rtx-3080-ti-tuf-rtx3080ti-o12g-gaming/p/N82E16814126509?Description=3080&cm_re=3080-_-14-126-509-_-Product
MSI GeForce RTX 3080 Ventus 3X Plus LHR Graphics Card 10GB GDRR6X 320-Bit 19 Gbps PCI Express 4.0 Triple Fan TORX Fan 3.0 1x HDMI 3x DisplayPort 1.4a + HDMI 2.1 Cable(4k@120Hz/8K@60Hz),2069,https://www.newegg.ca/p/1FT-0009-00935?Description=3080&cm_re=3080-_-9SIACBDHXX3984-_-Product
MSI GeForce RTX 3080 Ventus 3X Plus LHR Graphics Card 10GB GDRR6X 320-Bit 19 Gbps PCI Express 4.0 Triple Fan TORX Fan 3.0 1x HDMI 3x DisplayPort 1.4a + HDMI Cable,2069,https://www.newegg.ca/p/1FT-0009-00934?Description=3080&cm_re=3080-_-9SIACBDHXX3980-_-Product
MSI Suprim GeForce RTX 3080 10GB GDDR6X Video Card RTX 3080 SUPRIM X 10G LHR,2070,https://www.newegg.ca/p/1FT-0009-006H1?Description=3080&cm_re=3080-_-1FT-0009-006H1-_-Product
GAINWARD Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G,2082,https://www.newegg.ca/gainward-ga102-225/p/1FT-00FZ-00003?Description=3080&cm_re=3080-_-9SIB86YH6Z8122-_-Product
GIGABYTE GeForce RTX 3080 GAMING OC 10GB Video Card GV-N3080GAMING OC-10GD,2084,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932329?Description=3080&cm_re=3080-_-9SIAVT9H3M8413-_-Product
ZOTAC AMP Holo GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card ZT-A30810F-10P,2099,https://www.newegg.ca/zotac-zt-a30810f-10p/p/N82E16814500515?Description=3080&cm_re=3080-_-14-500-515-_-Product
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-O10G-WHITE-V2 LHR,2099,https://www.newegg.ca/p/1FT-000Y-00654?Description=3080&cm_re=3080-_-1FT-000Y-00654-_-Product
GIGABYTE Vision GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TVISION OC-12GD,2099,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308tvision-oc-12gd/p/N82E16814932437R?Description=3080&cm_re=3080-_-14-932-437R-_-Product
GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card GV-N3080VISION OC-10GD,2114,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080vision-oc-10gd/p/N82E16814932337?Description=3080&cm_re=3080-_-9SIAVT9H3M8414-_-Product
ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0 12GB GDDR6X HDMI 2.1 Axial-tech Fan Design 2.9-Slot Super Alloy Power II ASUS Auto-Extreme Technology),2124,https://www.newegg.ca/asus-geforce-rtx-3080-ti-rog-strix-rtx3080ti-o12g-gaming/p/N82E16814126508R?Description=3080&cm_re=3080-_-14-126-508R-_-Product
GIGABYTE Eagle GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080EAGLE-10GD (rev. 2.0) (LHR),2165,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080eagle-10gd/p/N82E16814932461?Description=3080&cm_re=3080-_-14-932-461-_-Product
GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-12GD,2166,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-12gd/p/N82E16814932505?Description=3080&cm_re=3080-_-9SIAPBWH1N6080-_-Product
ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING and Rosewill - BRONZE Series - 1000-Watt Active PFC Power Supply - Continuous 104 Deg. F (40C) 80 PLUS Bronze Semi-Modular Cable Design ATX,2169,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4484330
ASUS ROG STRIX GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 ATX Video Card ROG-STRIX-RTX3080-O10G-WHITE-V2 (LHR),2174,https://www.newegg.ca/p/1FT-000Y-00690?Description=3080&cm_re=3080-_-1FT-000Y-00690-_-Product
GDDR6X MSI GeForce RTX 3080 GAMING Z TRIO 10G LHR Graphics Card 10GB 320bit PCI Express 4.0 16X RTX,2219,https://www.newegg.ca/p/1FT-0009-008J5?Description=3080&cm_re=3080-_-1FT-0009-008J5-_-Product
Colorful iGame GeForce RTX 3080 10GB Vulcan LHR Graphics Card 1440-1800Mhz GDDR6X 320bit,2219,https://www.newegg.ca/p/1FT-00D0-00043?Description=3080&cm_re=3080-_-9SIAX76HU71595-_-Product
GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TGAMING OC-12GD,2221,https://www.newegg.ca/p/1FT-000A-002A6?Description=3080&cm_re=3080-_-1FT-000A-002A6-_-Product
GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS X-10GD (rev. 2.0) LHR,2239,https://www.newegg.ca/p/1FT-000A-002M6?Description=3080&cm_re=3080-_-9SIAPBWFVU1086-_-Product
EVGA GeForce RTX 3080 12GB XC3 ULTRA GAMING 12G-P5-4865-KL 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate LHR,2249,https://www.newegg.ca/evga-geforce-rtx-3080-12g-p5-4865-kl/p/N82E16814487557?Description=3080&cm_re=3080-_-14-487-557-_-Product
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G (rev. 2.0) Graphics Card WATERFORCE Water Block Cooling System 10GB 320-bit GDDR6X GV-N3080AORUSX WB-10GD Rev2.0 Video Card (LHR),2252,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-wb-10gd-rev2-0/p/N82E16814932477?Description=3080&cm_re=3080-_-14-932-477-_-Product
EVGA GeForce RTX 3080 XC3 ULTRA GAMING Video Card 10G-P5-3885-KL 10GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate LHR,2260,https://www.newegg.ca/evga-geforce-rtx-3080-10g-p5-3885-kl/p/N82E16814487542?Description=3080&cm_re=3080-_-9SIB277FJW6918-_-Product
MSI Suprim GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 12G LHR,2277,https://www.newegg.ca/p/1FT-0009-008Y5?Description=3080&cm_re=3080-_-9SIAPBWH1N6079-_-Product
MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G and MSI SPATIUM Series M.2 2280 2TB PCI-Express 4.0 x4 NVMe 1.3 3D NAND Internal Solid State Drive (SSD) M470,2284,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4473875
MSI GeForce RTX 3080 AERO S 10G LHR Graphics 1905 MHz DisplayPort x 3 RTX 3080 Graphics card rtx3080 video card GDDR6X,2289,https://www.newegg.ca/msi-geforce-rtx-3080/p/1FT-0009-00937?Description=3080&cm_re=3080-_-9SIAVH1HV34341-_-Product
MSI Gaming GeForce RTX 3080 10GB Video Card RTX 3080 GAMING TRIO PLUS 10G LHR,2298,https://www.newegg.ca/msi-3080-gaming-trio-plus/p/1FT-0009-008U6?Description=3080&cm_re=3080-_-9SIAVH1HG51638-_-Product
MSI Suprim GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti SUPRIM X 12G,2299,https://www.newegg.ca/msi-geforce-rtx-3080-ti-suprim-x-12g/p/N82E16814137660?Description=3080&cm_re=3080-_-14-137-660-_-Product
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUSX W-10GD (rev. 2.0) (LHR),2301,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-w-10g-v2-0/p/N82E16814932472?Description=3080&cm_re=3080-_-14-932-472-_-Product
GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card GV-N3080VISION OC-10GDNOT LHR,2320,https://www.newegg.ca/p/1FT-000A-002C6?Description=3080&cm_re=3080-_-9SIAPBWFD56637-_-Product
MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 10G,2356,https://www.newegg.ca/msi-geforce-rtx-3080-rtx3080-suprim-x-10g/p/N82E16814137609?Description=3080&cm_re=3080-_-14-137-609-_-Product
GDDR6X Gigabyte GeForce RTX 3080 GAMING OC 10G LHR Graphics Card 320bit PCI Express 4.0 16X PC RTX,2392,https://www.newegg.ca/p/1FT-000A-003U5?Description=3080&cm_re=3080-_-9SIB42GHD95676-_-Product
ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30810B-10P,2399,https://www.newegg.ca/zotac-geforce-rtx-3080-ti-zt-a30810b-10p/p/N82E16814500527?Description=3080&cm_re=3080-_-14-500-527-_-Product
GAINWARD GeForce RTX 3080  Glare G Edition Gaming Graphics Card (PCIe 4.0 10GB GDDR6X HDMI 2.1 320bit 1710MHz),2399,https://www.newegg.ca/gainward-ga102-202/p/27N-0075-00017?Description=3080&cm_re=3080-_-27N-0075-00017-_-Product
GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080EAGLE-12GD Video Card,2426,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080eagle-12gd/p/N82E16814932490?Description=3080&cm_re=3080-_-14-932-490-_-Product
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-10G-GAMING,2445,https://www.newegg.ca/asus-geforce-rtx-3080-rog-strix-rtx3080-10g-gaming/p/N82E16814126469?Description=3080&cm_re=3080-_-9SIAVT9HA37549-_-Product
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-O10G-GAMING,2447,https://www.newegg.ca/asus-geforce-rtx-3080-rog-strix-rtx3080-o10g-gaming/p/N82E16814126457?Description=3080&cm_re=3080-_-14-126-457-_-Product
ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak) and ASUS AM4 TUF Gaming X570-Plus (Wi-Fi) ATX Motherboard wi,2459,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4471459
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak II) and Intel Core i9-11900K - Core i9 11th Gen Rocket Lak,2494,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4433975
MSI GeForce RTX 3080 SUPRIM X 10G LHR Graphics Card 10GB 320-bit GDDR6X PCI Express 4.0 1×HDMI 2.1 Interface 3×DisplayPort 1.4a Interface,2499,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-suprim-x-10g-lhr/p/1FT-0009-008A4?Description=3080&cm_re=3080-_-9SIADDZGPR8609-_-Product
GIGABYTE Vision GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TVISION OC-12GD,2519,https://www.newegg.ca/p/1FT-000A-002A5?Description=3080&cm_re=3080-_-1FT-000A-002A5-_-Product
MSI Gaming Z Trio 10G LHR NVIDIA GeForce RTX 3080 10GB GDDR6X Graphics Card,2533,https://www.newegg.ca/p/1FT-0009-008E2?Description=3080&cm_re=3080-_-1FT-0009-008E2-_-Product
MSI Raphic Cards GeForce RTX 3080 GAMING Z TRIO 10G LHR 10GB GDDR6X Graphics Cards 320bit HDCP,2536,https://www.newegg.ca/p/1FT-0009-008G8?Description=3080&cm_re=3080-_-1FT-0009-008G8-_-Product
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,2541,https://www.newegg.ca/p/1FT-0009-008V8?Description=3080&cm_re=3080-_-9SIB9EBH016309-_-Product
ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING and ASUS ROG STRIX Z590-A GAMING WIFI LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and Rosewill SMG750 80 Plus Gold Certified 750W,2543,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4452328
